canonical_id,project_name,sector,risk_score,risk_tier
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,Railways,8.578745255239289,Low
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,57.4411570919022,High
400012,Kandla Gorakhpur LPG Pipeline,Energy Storage,26.875831083945577,Medium
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,Telecommunication,10.2451095442801,Low
400018,HURA C OCP,Coal,6.111763423361183,Low
400022,Taranga Hill-Abu Road via Ambaji 116.65 km,Railways,6.103293868351324,Low
400023,Construction of New BG line between Hassan to Belur [27 Km],Railways,6.020942519351049,Low
400033,BHATADI EXPANSION OC,Coal,6.580255708143764,Low
400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Energy Storage,6.8633620309974495,Low
400045,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,Railways,6.905509632350736,Low
400047,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,Railways,6.651715835176689,Low
400048,Doubling of lines connecting the loading spurs in Talcher Yard.,Railways,6.65925409010878,Low
400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Electricity Generation,7.562445344465492,Low
400073,KONAR EXPANSION OCP,Coal,6.181888305668709,Low
400074,KARO EXPANSION OCP,Coal,6.5565371138484165,Low
400081,"National Sports University [NSU], Imphal [Manipur]",Education,12.39157377381417,Low
400087,Redevelopment of Sobhasan Complex,Oil & Gas,11.460494384557306,Low
400100,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources,11.510599363623436,Low
400101,Gundlakamma project,Water Resources,8.00831764154269,Low
400102,Sri Ram Sagar Project Stage - II,Water Resources,13.813255412940281,Low
400103,Indiramma Flood Flow Canal Project,Water Resources,6.781341980457903,Low
400111,Kelo Irrigation Project,Water Resources,10.627416901362933,Low
400115,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources,27.374996669247437,Medium
400116,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources,37.644716582816315,Medium
400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil & Gas,65.20202322802979,High
400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil & Gas,43.53368199312357,Medium
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",Steel,10.449066600168393,Low
400136,SANGHMITRA OC,Coal,6.0781226783160935,Low
400138,CHANDRAGUPT OCP,Coal,6.1161030108100265,Low
400139,KOTRE BASANTPUR PACHMO OCP,Coal,5.997498934023103,Low
400141,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,Metals & Mining,59.66287409194514,High
400142,Pachwara South Coal Block,Coal,6.982702669777336,Low
400144,PORDA CHIMTAPANI OCP [10 MTY],Coal,8.883182808076667,Low
400148,AMADAND OCP[4.0MTY],Coal,30.050838238753958,Medium
400149,BAROUD OC EXPANSION [3.0-10.0M,Coal,7.479207679234888,Low
400150,RPR MAGADH EXP OCP,Coal,7.45766346844107,Low
400151,NORTH URIMARI EXPANSION OCP,Coal,6.058463215996759,Low
400153,EPR ROHINI - KARKETTA OCP,Coal,8.60448510741825,Low
400154,EPR PUNDI OCP,Coal,10.651073172127651,Low
400155,EPR ASHOK OC,Coal,6.082412368601168,Low
400156,EPR AMRAPALI OCP,Coal,8.419110353147364,Low
400162,BLOCK B EXPANSION [3.5 TO 8.0,Coal,18.369238838553642,Low
400165,SUBHADRA OCP,Coal,6.011908467785633,Low
400166,SIARMAL OCP,Coal,6.115173655117205,Low
400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil & Gas,44.942631501122854,Medium
400168,"500 KTA PDHPP Project, Usar",Oil & Gas,15.717293896865037,Low
400169,Redevelopment of Linch Field,Oil & Gas,68.49254755162384,High
400171,2G Ethanol Biorefinery at Bathinda,Oil & Gas,63.193852615845834,High
400172,CHITRA EAST OC,Coal,13.008455430775784,Low
400173,MOHANPUR EXPANSION OC -PHASE I,Coal,10.813816990419364,Low
400174,"New Sinter Plant at BSL, SAIL",Steel,8.442689745746694,Low
